id,dob,age,gender,relationship,citizenship,ethnicity,marital_status,education_current,education_level,school_type,literacy_en,literacy_my,literacy_cn,literacy_tm,income_personal,income_household,income_other,income_total
P1,15/03/1985,38,F,Head,Malaysian,Malay,Married,No,University,National_Sec,Yes,Yes,No,No,6500,4000,500,11000
P2,22/06/1983,40,M,Spouse,Malaysian,Malay,Married,No,University,National_Sec,Yes,Yes,No,No,7500,4000,0,11500
P3,10/09/2015,8,F,Child,Malaysian,Malay,Single,Yes,Primary,National_Pri,Yes,Yes,No,No,0,0,0,0
P4,18/04/1965,58,M,Head,Malaysian,Chinese,Married,No,Secondary,Chinese_Sec,Yes,No,Yes,No,12000,3000,1000,16000
P5,25/07/1968,55,F,Spouse,Malaysian,Chinese,Married,No,Secondary,Chinese_Sec,No,Yes,Yes,No,4500,3000,0,7500
P6,30/11/1995,28,F,Single,Malaysian,Indian,Single,No,University,National_Sec,Yes,Yes,No,Yes,3500,0,0,3500
P7,14/02/1988,35,M,Head,Malaysian,Malay,Married,No,College,National_Sec,Yes,Yes,No,No,7500,2500,500,10500
P8,03/12/2010,13,F,Child,Malaysian,Malay,Single,Yes,Secondary,National_Sec,Yes,Yes,No,No,0,0,0,0
P9,21/08/1950,73,F,Grandparent,Malaysian,Malay,Widowed,No,Primary,National_Pri,No,Yes,No,No,0,2000,1500,3500
P10,17/05/2000,23,M,Single,Malaysian,Chinese,Single,No,University,Chinese_Sec,Yes,Yes,Yes,No,2800,0,0,2800
P11,28/09/1975,48,F,Head,Malaysian,Indian,Divorced,No,College,National_Sec,Yes,Yes,No,Yes,8500,0,500,9000
P12,11/04/2008,15,M,Child,Malaysian,Indian,Single,Yes,Secondary,National_Sec,Yes,Yes,No,Yes,0,0,0,0
P13,05/11/1982,41,M,Head,Malaysian,Malay,Married,No,University,National_Sec,Yes,Yes,No,No,9500,3000,0,12500
P14,30/12/1983,40,F,Spouse,Malaysian,Malay,Married,No,College,National_Sec,Yes,Yes,No,No,6500,3000,0,9500
P15,19/06/2012,11,F,Child,Malaysian,Malay,Single,Yes,Primary,National_Pri,Yes,Yes,No,No,0,0,0,0
P16,07/03/1998,25,M,Single,Malaysian,Chinese,Single,No,University,Chinese_Sec,Yes,Yes,Yes,No,3200,0,0,3200
P17,23/01/1970,53,M,Head,Malaysian,Others,Married,No,Secondary,National_Sec,Yes,Yes,No,No,7800,2500,1000,11300
P18,14/04/1972,51,F,Spouse,Malaysian,Others,Married,No,Secondary,National_Sec,Yes,Yes,No,No,4200,2500,0,6700
P19,09/08/2005,18,F,Child,Malaysian,Others,Single,Yes,College,National_Sec,Yes,Yes,No,No,0,0,0,0
P20,12/10/1960,63,M,Head,Malaysian,Malay,Married,No,Primary,National_Pri,No,Yes,No,No,2000,2500,1500,6000
P21,08/07/1962,61,F,Spouse,Malaysian,Malay,Married,No,Primary,National_Pri,No,Yes,No,No,0,2500,1000,3500
P22,25/05/1993,30,M,Single,Malaysian,Chinese,Single,No,University,Chinese_Sec,Yes,Yes,Yes,No,4500,0,0,4500
P23,16/09/1980,43,F,Head,Malaysian,Malay,Divorced,No,College,National_Sec,Yes,Yes,No,No,7200,0,500,7700
P24,28/11/2013,10,M,Child,Malaysian,Malay,Single,Yes,Primary,National_Pri,Yes,Yes,No,No,0,0,0,0
P25,03/02/1955,68,M,Head,Malaysian,Indian,Married,No,Secondary,National_Sec,Yes,Yes,No,Yes,2500,2000,1500,6000
P26,19/04/1957,66,F,Spouse,Malaysian,Indian,Married,No,Secondary,National_Sec,No,Yes,No,Yes,0,2000,1000,3000
P27,30/08/1996,27,F,Single,Malaysian,Malay,Single,No,University,National_Sec,Yes,Yes,No,No,3800,0,0,3800
P28,11/12/1985,38,M,Head,Malaysian,Chinese,Married,No,University,Chinese_Sec,Yes,Yes,Yes,No,11000,3500,0,14500
P29,24/03/1987,36,F,Spouse,Malaysian,Chinese,Married,No,College,Chinese_Sec,Yes,Yes,Yes,No,6500,3500,0,10000
P30,07/01/2016,7,M,Child,Malaysian,Chinese,Single,Yes,Primary,Chinese_Pri,Yes,Yes,Yes,No,0,0,0,0
P31,15/06/1978,45,M,Head,Malaysian,Malay,Married,No,College,National_Sec,Yes,Yes,No,No,8800,2800,500,12100
P32,22/09/1979,44,F,Spouse,Malaysian,Malay,Married,No,College,National_Sec,Yes,Yes,No,No,7200,2800,0,10000
P33,14/07/2009,14,F,Child,Malaysian,Malay,Single,Yes,Secondary,National_Sec,Yes,Yes,No,No,0,0,0,0
P34,09/11/1952,71,M,Grandparent,Malaysian,Chinese,Widowed,No,Primary,Chinese_Pri,No,No,Yes,No,0,2200,1500,3700
P35,28/04/1994,29,F,Single,Malaysian,Others,Single,No,University,National_Sec,Yes,Yes,No,No,4200,0,0,4200
P36,17/08/1973,50,M,Head,Malaysian,Malay,Married,No,Secondary,National_Sec,Yes,Yes,No,No,9500,3000,1000,13500
P37,05/10/1974,49,F,Spouse,Malaysian,Malay,Married,No,Secondary,National_Sec,Yes,Yes,No,No,5500,3000,0,8500
P38,20/02/2006,17,M,Child,Malaysian,Malay,Single,Yes,Secondary,National_Sec,Yes,Yes,No,No,0,0,0,0
P39,13/05/1967,56,F,Head,Malaysian,Indian,Divorced,No,College,National_Sec,Yes,Yes,No,Yes,7800,0,1000,8800
P40,25/12/2011,12,F,Child,Malaysian,Indian,Single,Yes,Primary,National_Pri,Yes,Yes,No,Yes,0,0,0,0
P41,31/07/1991,32,M,Single,Malaysian,Chinese,Single,No,University,Chinese_Sec,Yes,Yes,Yes,No,5500,0,0,5500
P42,08/03/1963,60,F,Head,Malaysian,Malay,Widowed,No,Secondary,National_Sec,No,Yes,No,No,0,2500,2000,4500
P43,26/01/1997,26,M,Single,Malaysian,Others,Single,No,College,National_Sec,Yes,Yes,No,No,3500,0,0,3500
P44,02/10/1986,37,F,Head,Malaysian,Malay,Divorced,No,University,National_Sec,Yes,Yes,No,No,8200,0,500,8700
P45,15/08/2014,9,M,Child,Malaysian,Malay,Single,Yes,Primary,National_Pri,Yes,Yes,No,No,0,0,0,0
P46,29/06/1958,65,M,Head,Malaysian,Chinese,Married,No,Secondary,Chinese_Sec,Yes,No,Yes,No,2200,2300,1500,6000
P47,11/09/1959,64,F,Spouse,Malaysian,Chinese,Married,No,Secondary,Chinese_Sec,No,No,Yes,No,0,2300,1000,3300
P48,05/04/2007,16,F,Child,Malaysian,Malay,Single,Yes,Secondary,National_Sec,Yes,Yes,No,No,0,0,0,0
P49,18/12/1977,46,M,Head,Malaysian,Others,Married,No,University,National_Sec,Yes,Yes,No,No,10500,3200,0,13700
P50,09/02/1981,42,F,Spouse,Malaysian,Others,Married,No,College,National_Sec,Yes,Yes,No,No,6800,3200,0,10000